,duration,followers,start_time,title,viewers,views,end_time
318,6.1,103,2018-07-03 22:59:00,Head Barely Above Water in the Remaster Dark Souls,2872,8222,2018-07-04 05:05:00
319,4.1,129,2018-07-01 22:58:00,Free MMO Party Bus PlanetSide 2Wizard101,4163,10004,2018-07-02 03:04:00
320,4.5,127,2018-06-30 22:53:00,Boston to Vegas Road Trip The Crew 2,3357,9051,2018-07-01 03:23:00
321,5.1,64,2018-06-28 23:59:00,Jackbox Hang out The Jackbox Party Pack 4,3226,7125,2018-06-29 05:05:00
322,5.3,121,2018-06-24 23:08:00,Swimmin around some more in the Remaster Dark Souls,2849,9213,2018-06-25 04:26:00
323,7.0,226,2018-06-21 22:55:00,Up to my Armpits (Still Safe) in the Remaster Dark Souls,3227,10737,2018-06-22 05:55:00
324,2.7,44,2018-06-20 23:03:00,Up to my Armpits (Still Safe) in the Remaster Dark SoulsIRL,2671,6572,2018-06-21 01:45:00
325,7.3,140,2018-06-19 23:17:00,Waist deep in the Remaster Dark Souls,2823,12031,2018-06-20 06:35:00
326,7.0,122,2018-06-17 22:56:00,Dippin' a toe into the Remaster Dark Souls,2819,11042,2018-06-18 05:56:00
327,4.4,58,2018-06-16 14:30:00,Guy in basement wipes out humanity Destroy All Humans!,2264,6340,2018-06-16 18:54:00
328,3.8,48,2018-06-13 00:05:00,PS2 Can of corn Retro,2139,6055,2018-06-13 03:53:00
329,1.5,13,2018-06-12 16:04:00,"Nin-Ten-Do, Say it with me now E3 2018",1788,2110,2018-06-12 17:34:00
330,7.6,319,2018-06-10 20:00:00,E3 Microsoft tell us something Destroy All Humans!E3 2018,4790,26301,2018-06-11 03:36:00
331,1.8,21,2018-06-08 22:49:00,Get Rid of Everybody Destroy All Humans!,2739,4465,2018-06-09 00:37:00
332,5.7,101,2018-06-05 23:01:00,"Dr. A. Cula (Andrew Cula, MD) Prescribing EPIC jokes XD Vampyr",2504,10089,2018-06-06 04:43:00
333,1.6,73,2018-06-03 20:46:00,The Polygraph Exam IRL,4425,6257,2018-06-03 22:22:00
334,8.4,283,2018-05-30 21:10:00,Digital Humanism Detroit: Become Human,4094,16416,2018-05-31 05:34:00
335,6.5,235,2018-05-29 21:06:00,Too Human Detroit: Become Human,3827,12350,2018-05-30 03:36:00
336,7.3,112,2018-05-27 19:18:00,PS2 Cookie Box Retro,2532,11545,2018-05-28 02:36:00
337,5.6,96,2018-05-25 23:00:00,"The PS2 Had Over 3,874 Games Retro",2611,8482,2018-05-26 04:36:00
338,7.0,109,2018-05-22 22:35:00,Marvel's Bad Interrogator The Punisher,2613,9503,2018-05-23 05:35:00
339,7.2,187,2018-05-19 17:15:00,Cashing in on the Housing Market House Flipper,3996,13778,2018-05-20 00:27:00
340,4.6,46,2018-05-18 20:49:00,Report from Hell Michigan: Report from Hell,2496,7419,2018-05-19 01:25:00
341,3.5,39,2018-05-15 15:44:00,Venting out frustrations in FoF Fistful of Frags,2223,8172,2018-05-15 19:14:00
342,5.3,322,2018-05-12 02:23:00,Adult Leap Frog Mount Your Friends 3D: A Hard Man Is Good to ClimbWorms Revolution,2728,11775,2018-05-12 07:41:00
343,3.6,35,2018-05-10 23:39:00,Trying to ride out my terrible internet Unknown,2690,9258,2018-05-11 03:15:00
344,0.2,0,2018-05-10 22:43:00,Reporting from Hell Michigan: Report from Hell,784,0,2018-05-10 22:55:00
345,2.0,15,2018-05-07 23:56:00,Unwell Streamer uses technology to communicate Crysis,1815,3133,2018-05-08 01:56:00
346,5.1,41,2018-05-05 22:08:00,First Person Rug-light City of Brass,2179,8489,2018-05-06 03:14:00
347,5.3,97,2018-05-02 22:45:00,Who dun it? find em edition Murderous Pursuits,2549,9452,2018-05-03 04:03:00
348,6.2,83,2018-04-30 22:03:00,Finishing S-Dogs Sleeping Dogs,2264,8619,2018-05-01 04:15:00
349,6.7,38,2018-04-27 23:13:00,Questionable Police Work Sleeping Dogs,1981,6969,2018-04-28 05:55:00
350,5.6,43,2018-04-26 23:28:00,True Crime: Bicentennial Man Sleeping Dogs,2237,6577,2018-04-27 05:04:00
351,6.6,100,2018-04-25 23:16:00,True Sleeping Crime Dogs Sleeping Dogs,2528,9889,2018-04-26 05:52:00
352,2.1,37,2018-04-21 22:59:00,The Detective Stream Unknown,2471,3763,2018-04-22 01:05:00
353,6.9,63,2018-04-19 23:00:00,Cleanin' up the Crime True Crime: New York City,2161,7266,2018-04-20 05:54:00
